project,category,test,correlation,p_value,n,significant
detectron2,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.3971553842386809,0.06058675024263915,23,False
detectron2,bugfixes,smell_density_mean_vs_bugfix_commits,0.6907248514374889,0.00026359074474524135,23,True
detectron2,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.510266564738915,0.012857743334166895,23,True
detectron2,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.8298490804415465,9.718472658419546e-07,23,True
detectron2,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.3928658944314147,0.06367984432553794,23,False
detectron2,bugfixes,smell_introduction_rate_vs_bugfix_commits,0.7625087766501529,2.3407593919342087e-05,23,True
transformers,complexity,smell_density_mean_vs_complexity_delta,-0.4352136752136752,0.026275297193493776,26,True
transformers,complexity,smell_density_mean_vs_complexity_growth_rate,0.8023931623931623,8.201923366389123e-07,26,True
transformers,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.8644688644688645,6.151996422460433e-09,27,True
transformers,complexity,total_smells_found_sum_vs_complexity_delta,-0.30735042735042734,0.12667317044596432,26,False
transformers,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.17675213675213672,0.3877155926568773,26,False
transformers,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.22466422466422467,0.2599001049430713,27,False
transformers,complexity,smell_introduction_rate_vs_complexity_delta,-0.21094017094017092,0.3009554236037242,26,False
transformers,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.3846153846153845,0.052369535324279216,26,False
transformers,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.5286935286935286,0.004580474338686212,27,True
transformers,changes,smell_density_mean_vs_change_intensity,-0.1978021978021978,0.32266681370880823,27,False
transformers,changes,smell_density_mean_vs_files_changed_sum,0.05372405372405373,0.7901306090134299,27,False
transformers,changes,smell_density_mean_vs_loc_churn,0.07326007326007326,0.7164956295371385,27,False
transformers,changes,total_smells_found_sum_vs_change_intensity,0.23870573870573872,0.2304933624673221,27,False
transformers,changes,total_smells_found_sum_vs_files_changed_sum,0.3571428571428571,0.06742904400568388,27,False
transformers,changes,total_smells_found_sum_vs_loc_churn,0.10927960927960927,0.5874094722042709,27,False
transformers,changes,smell_introduction_rate_vs_change_intensity,-0.15445665445665446,0.4417527030638726,27,False
transformers,changes,smell_introduction_rate_vs_files_changed_sum,0.026862026862026864,0.8941948368835395,27,False
transformers,changes,smell_introduction_rate_vs_loc_churn,0.1623931623931624,0.41835171898812185,27,False
transformers,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.7722832722832721,2.3693855952535814e-06,27,True
transformers,bugfixes,smell_density_mean_vs_bugfix_commits,-0.2264957264957265,0.2559324355985912,27,False
transformers,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.40415140415140416,0.0365458158654563,27,True
transformers,bugfixes,total_smells_found_sum_vs_bugfix_commits,-0.12393162393162394,0.5379752912344229,27,False
transformers,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.3241758241758242,0.09901329918483762,27,False
transformers,bugfixes,smell_introduction_rate_vs_bugfix_commits,-0.11904761904761904,0.5542334831984879,27,False
